id,name,slug,website,greenhouse_board_token,scraper_type,scraper_config,logo_filename
8a7e7bf6-13e1-43f7-9e97-38761e40f62f,Radix,radix,http://radix-trading.com,radixuniversity,greenhouse,{},
8a9ae47a-806d-4273-9129-b6bf667f805f,AlphaGrep,alphagrep,https://www.alpha-grep.com/,alphagrepsecurities,greenhouse,{},alphagreplogo.jpeg
8dd964b1-8c8f-4ed9-9753-d9e96e4ef62f,Quantlane,quantlane,http://quantlane.com,,lever,"{""site"": ""quantlane""}",
8f3c7611-328d-43e7-8459-c84efd3be0dc,Old Mission Capital,old-mission-capital,https://www.oldmissioncapital.com/,oldmissioncapital,greenhouse,{},oldmissioncapitallogo.jpeg
9ed8bc85-77e9-4a8e-9598-2aaee9d87370,Epoch Capital,epoch-capital,https://epoch.capital/,epochcapital,greenhouse,{},epochcapitallogo.jpeg
adb866df-ae7b-4143-9448-a3270b3b1d38,XY Capital,xy-capital,https://www.xycapitalgroup.com/,xycapital,greenhouse,{},xylogo.jpeg
addef82c-e052-4e60-a7e8-ff47eeccc3d6,Propex Derivatives,propex-derivatives,https://www.linkedin.com/company/propex-derivatives/,,,{},propexlogo.jpeg
bc376c35-561a-4fe3-b2be-44ca1ac37226,DRW,drw,https://drw.com/,drweng,greenhouse,{},drwlogo.jpeg
bcef9f9d-4fa1-46a2-9148-2a080d291862,Nine Mile,nine-mile,https://www.nmftrading.com/,,nine_mile_html,{},ninemilelogo.jpeg
c01574b2-4871-4aba-a24b-5839a72021f7,WEBB Traders,webb-traders,https://www.webbtraders.com/,,webb_html,"{""url"": ""https://webbtraders.com/careers"", ""base"": ""https://webbtraders.com"", ""pattern"": ""<a href=\""(?P<link>/careers/[^\""]+)\""[^>]*>(?P<title>[^<]+)</a>.*?>(?P<team>[A-Z][^<]+)</span>.*?\\|\\s*</span>\\s*(?P<loc>[A-Za-z ,]+)""}",
c68aa255-02bf-46ce-9d05-9af053f8a206,D2X,d2x,https://www.d2x.com/,,,{},d2xlogo.jpeg
c6f86fe3-3b66-41de-954f-65bce7a1f660,Autumn Compass,autumn-compass,http://www.autumncompass.com,,,{},autumncompasslogo.jpeg
c75f367f-4db5-473f-961b-fb2328c2cf86,XTX Markets,xtx-markets,https://www.xtxmarkets.com/,xtxmarketstechnologies,greenhouse,{},xtxmarketslogo.jpeg
c85ee945-8a50-4477-95ac-20ff7d3d5cd7,Maven Securities,maven-securities,https://www.mavensecurities.com,mavensecuritiesholdingltd,greenhouse,{},mavenlogo.jpeg
c8c41a42-0e18-400d-89ba-5f3b8dd14345,Quantbox Research,quantbox-research,https://www.quantboxresearch.com/,quantboxresearchpte,greenhouse,{},quantboxresearchlogo.jpeg
cab34e6f-3357-4b26-a176-a8afc1e6c16b,Minter Capital,minter-capital,https://www.linkedin.com/company/minter-capital/about/,,,{},mintercapitallogo.jpeg
cbbb1513-9377-4da0-a0bc-f6c2a0a53fbd,BlockTech,blocktech,https://www.block-tech.io/,,recruitee,"{""slug"": ""blocktech""}",
d1faa82f-4c6e-4a38-b2b4-5cee76e4bb5b,TradeLink,tradelink,https://tradelinkllc.com/,,,{},tradelinklogo.jpeg
d20b8a22-5c00-4f29-b0a7-6348653e1d54,Citadel,citadel,,,,{},citadellogo.jpeg
d3f9d0d8-cd92-4f3f-a840-81dedf4c6db0,Chicago Trading Company,chicago-trading-company,https://www.chicagotrading.com/,chicagotrading,greenhouse,{},chicagotradinglogo.jpeg
d982c3b1-6926-46bc-8cf6-8439352e9355,VivCourt Trading,vivcourt-trading,https://www.vivcourt.com,vivcourt,greenhouse,{},vivcourtlogo.png
d9e4ed5d-e19a-4968-bf39-d2dea0df741d,Ark International,ark-international,https://www.linkedin.com/company/ark-international-group/posts/?feedView=all,,,{},arkinterationallogo.jpeg
e3fa1ef4-5db3-4904-b209-2157ca9f5728,Mathrix,mathrix,https://www.mathrix.com/,,recruitee,"{""slug"": ""mathrix""}",mathrixlogo.jpeg
e9705a47-1214-499b-b64c-b47ab5de40e9,Eclipse Trading,eclipse-trading,https://www.eclipsetrading.com,eclipsetrading,greenhouse,{},eclipselogo.jpeg
ea35c201-edd6-464f-bb8c-369c33e7aed8,Tower Research Capital,tower-research-capital,https://www.tower-research.com/,towerresearchcapital,greenhouse,{},towerresearchlogo.jpeg
efeb4a1d-6771-44e9-904b-0b5484f73058,Wincent,wincent,https://www.wincent.com/,,greenhouse,{},
fdd0043d-da60-4248-a5b1-330f25c05868,Star Beta,star-beta,https://starbetatech.com,,,{},starbetalogo.jpeg
